Date,Wind_Speed(m/s),Temperature(C),Humidity(%),Power_Output(kW)
2013-01-01,3.69,23.45,66.15,60.429057014761334
2013-01-02,3.1,22.5,57.25,35.992715301620315
2013-01-03,2.77,22.66,59.36,25.65750479312927
2013-01-04,2.77,24.19,61.64,25.503744724240782
2013-01-05,2.86,24.48,60.59,28.04392078983844
2013-01-06,3.03,24.53,61.68,33.33739743981989
2013-01-07,3.8,23.85,60.61,65.93611953556476
2013-01-08,3.28,23.81,54.55,42.4376234920003
2013-01-09,3.73,22.63,59.17,62.655471883049245
2013-01-10,3.52,22.39,56.1,52.72138371625701
2013-01-11,3.9,21.64,55.26,71.91213685219877
2013-01-12,3.67,21.69,55.6,59.91166900551377
2013-01-13,3.84,21.49,49.86,68.71785625512057
2013-01-14,3.7,21.45,44.1,61.51551880651187
2013-01-15,4.07,21.6,51.73,81.7719732238485
2013-01-16,4.61,21.43,57.68,118.83647791187406
2013-01-17,4.83,21.77,55.53,136.53004914232602
2013-01-18,3.76,21.9,56.62,64.37148842991802
2013-01-19,3.97,22.39,55.85,75.63822937662196
2013-01-20,3.55,21.84,51.63,54.215687061194515
2013-01-21,3.36,22.62,52.72,45.83055079861656
2013-01-22,4.13,21.8,52.43,85.37295586054137
2013-01-23,4.13,21.89,51.5,85.35231030387287
2013-01-24,3.47,21.72,48.37,50.67094448687302
2013-01-25,4.18,21.6,50.55,88.59304764339103
2013-01-26,4.59,21.32,49.8,117.43259832136516
2013-01-27,4.12,21.89,52.2,84.72797980568488
2013-01-28,3.33,22.68,52.54,44.604772023341624
2013-01-29,2.82,23.25,53.34,27.029620116968662
2013-01-30,3.99,23.42,55.16,76.49820716154538
2013-01-31,4.9,22.79,54.29,142.03015411044345
2013-02-01,4.73,22.14,49.84,128.1205835075148
2013-02-02,4.12,21.38,44.11,84.95360436767075
2013-02-03,3.99,21.79,45.55,77.03660785595663
2013-02-04,3.58,22.28,48.08,55.531219324121764
2013-02-05,4.66,24.31,62.18,121.36639391315373
2013-02-06,3.96,25.06,56.01,74.3209238936469
2013-02-07,2.31,26.06,49.05,14.709999023442423
2013-02-08,2.94,25.97,45.0,30.351849478681604
2013-02-09,4.38,25.39,48.73,100.52976813636099
2013-02-10,5.01,24.05,51.54,151.14733630689798
2013-02-11,6.28,23.5,54.45,298.2052756910578
2013-02-12,5.71,24.27,51.94,223.5738945071519
2013-02-13,5.2,23.76,49.09,169.23187315071152
2013-02-14,5.33,24.16,61.84,181.7128862420018
2013-02-15,3.65,23.59,67.7,58.44405151452024
2013-02-16,3.29,23.76,71.25,42.7560074901207
2013-02-17,2.63,25.04,67.38,21.743839030580737
2013-02-18,3.53,23.35,74.35,52.87764014930583
2013-02-19,3.91,24.21,62.03,71.72042233209358
2013-02-20,4.25,23.9,57.19,92.26199663045466
2013-02-21,4.3,23.75,53.2,95.65259610166329
2013-02-22,5.17,23.39,54.4,166.45177728082254
2013-02-23,4.2,23.61,47.76,89.23264077961625
2013-02-24,4.32,23.41,41.87,97.23511969360673
2013-02-25,4.98,22.84,29.64,149.45661775022486
2013-02-26,4.63,23.68,31.8,119.72002103815443
2013-02-27,2.94,23.97,35.08,30.609499536285295
2013-02-28,3.49,24.46,41.09,51.0768669578704
2013-03-01,4.82,24.62,36.52,134.54457463594292
2013-03-02,5.36,25.24,32.02,184.7063989067177
2013-03-03,5.08,25.16,34.45,157.24495716396078
2013-03-04,5.19,25.25,38.5,167.546416783848
2013-03-05,5.96,25.53,56.68,252.90779893121353
2013-03-06,5.87,24.99,66.0,241.84541262552554
2013-03-07,5.26,25.14,66.59,173.90052759849746
2013-03-08,3.92,25.24,58.11,72.02450539465143
2013-03-09,3.27,26.49,52.52,41.64194536741983
2013-03-10,2.97,27.2,49.72,31.129167359341693
2013-03-11,3.69,27.55,44.39,59.66654233720019
2013-03-12,2.35,27.34,37.68,15.437928662748213
2013-03-13,3.49,27.47,33.38,50.57238161844701
2013-03-14,4.59,26.23,39.47,115.47093124453765
2013-03-15,4.88,26.57,34.69,138.68428390147335
2013-03-16,4.25,25.81,45.94,91.73068730532539
2013-03-17,2.84,27.12,41.43,27.25635958957927
2013-03-18,3.54,26.87,39.85,52.845838628342065
2013-03-19,3.45,26.87,42.62,48.89884718064292
2013-03-20,3.83,27.57,44.21,66.71552462230183
2013-03-21,3.12,27.91,35.68,36.063922234804934
2013-03-22,2.83,28.33,29.11,26.89806474481363
2013-03-23,4.24,27.54,34.27,90.65089139229072
2013-03-24,4.47,26.74,39.36,106.45286089687788
2013-03-25,2.56,26.97,35.41,19.99032948914611
2013-03-26,2.76,28.77,39.52,24.873563306052908
2013-03-27,3.68,30.21,35.56,58.68732350643283
2013-03-28,3.56,29.54,38.92,53.23275241565346
2013-03-29,3.15,30.15,39.33,36.79288578895996
2013-03-30,4.16,30.3,46.04,84.60594704882787
2013-03-31,3.26,30.11,49.35,40.723966236835096
2013-04-01,3.12,28.1,57.98,35.924555644120936
2013-04-02,2.82,27.95,57.65,26.542569426319545
2013-04-03,2.96,28.13,58.34,30.67120198816275
2013-04-04,2.88,28.92,49.27,28.204342834164525
2013-04-05,2.9,29.18,51.3,28.75914689850554
2013-04-06,2.85,29.2,50.87,27.296841086741306
2013-04-07,1.85,30.19,42.78,7.448045054246866
2013-04-08,3.21,30.33,41.44,38.89665154865168
2013-04-09,3.84,30.54,40.36,66.54755252633056
2013-04-10,4.38,30.08,38.77,98.94747790647742
2013-04-11,3.62,29.07,34.79,56.100991231393124
2013-04-12,4.63,29.38,42.11,117.11502574781437
2013-04-13,4.28,29.09,44.37,92.57970393589117
2013-04-14,3.73,30.06,48.21,61.02173524203027
2013-04-15,2.56,30.48,47.25,19.69987020754954
2013-04-16,4.13,29.86,38.07,83.02898151438757
2013-04-17,2.28,29.78,30.9,13.989441873539558
2013-04-18,3.5,29.57,38.98,50.58030280969719
2013-04-19,2.27,30.07,39.0,13.77399300605753
2013-04-20,2.37,30.25,39.82,15.663320558756824
2013-04-21,2.19,29.85,42.59,12.371362996799533
2013-04-22,3.63,28.82,49.69,56.492859563733546
2013-04-23,3.1,29.71,45.5,35.09104355001377
2013-04-24,3.13,28.02,55.31,36.295920877066855
2013-04-25,2.73,28.3,52.46,24.067553291190805
2013-04-26,3.41,28.39,50.01,46.904537131434616
2013-04-27,3.04,29.3,48.28,33.12896082032712
2013-04-28,2.8,29.4,47.36,25.87977779763123
2013-04-29,2.56,28.8,49.49,19.817049960872378
2013-04-30,4.6,30.41,41.43,114.43092338871271
2013-05-01,4.49,29.75,45.53,106.60649551170832
2013-05-02,2.51,30.21,40.24,18.60776492902319
2013-05-03,1.93,30.3,43.8,8.45182935616584
2013-05-04,2.59,28.78,54.94,20.506843479493558
2013-05-05,1.77,27.58,63.37,6.5672061772503945
2013-05-06,2.09,29.27,52.67,10.759270552811259
2013-05-07,2.57,29.53,47.71,20.001002411738906
2013-05-08,2.73,29.22,55.68,23.972551987492917
2013-05-09,2.47,27.16,68.71,17.862302085891514
2013-05-10,2.83,26.36,71.86,26.93851425117611
2013-05-11,2.81,27.5,65.16,26.27881545081783
2013-05-12,4.75,26.72,65.63,127.30459399499149
